  I    J        QF(I,J,1)      QF(I,J,2)     QF(I,J,3)
  1    1         0.0933         0.0000       999.9913
  2    1         0.4667         0.0000       999.9562
  3    1         0.8401         0.0000       999.9213
  4    1         1.2134         0.0000       999.8863
  5    1         1.5868         0.0000       999.8513
  6    1       143.0000         0.0000       999.8513

  1    2         0.2348         0.1088       999.9780
  2    2         0.5891         0.1088       999.9448
  3    2         0.9433         0.1088       999.9116
  4    2         1.2975         0.1088       999.8784
  5    2         1.6517         0.1088       999.8452
  6    2       143.0700         0.1088       999.8452

  1    3         0.3763         0.2177       999.9647
  2    3         0.7114         0.2177       999.9333
  3    3         1.0465         0.2177       999.9019
  4    3         1.3815         0.2177       999.8705
  5    3         1.7166         0.2177       999.8391
  6    3       143.1400         0.2177       999.8391

  1    4         0.5178         0.3265       999.9515
  2    4         0.8338         0.3265       999.9219
  3    4         1.1497         0.3265       999.8923
  4    4         1.4656         0.3265       999.8627
  5    4         1.7815         0.3265       999.8331
  6    4       143.2100         0.3265       999.8331

  1    5         0.6593         0.4354       999.9382
  2    5         0.9561         0.4354       999.9104
  3    5         1.2529         0.4354       999.8826
  4    5         1.5497         0.4354       999.8548
  5    5         1.8464         0.4354       999.8270
  6    5       143.2800         0.4354       999.8270

  1    6         0.8008         0.5442       999.9249
  2    6         1.0784         0.5442       999.8989
  3    6         1.3561         0.5442       999.8729
  4    6         1.6337         0.5442       999.8469
  5    6         1.9113         0.5442       999.8209
  6    6       143.3500         0.5442       999.8209

  1    7         0.9423         0.6531       999.9117
  2    7         1.2008         0.6531       999.8875
  3    7         1.4593         0.6531       999.8632
  4    7         1.7178         0.6531       999.8390
  5    7         1.9762         0.6531       999.8148
  6    7       143.4200         0.6531       999.8148

  1    8         1.0838         0.7619       999.8984
  2    8         1.3231         0.7619       999.8760
  3    8         1.5625         0.7619       999.8536
  4    8         1.8018         0.7619       999.8311
  5    8         2.0412         0.7619       999.8087
  6    8       143.4900         0.7619       999.8087

  1    9         1.2253         0.8708       999.8852
  2    9         1.4455         0.8708       999.8645
  3    9         1.6657         0.8708       999.8439
  4    9         1.8859         0.8708       999.8232
  5    9         2.1061         0.8708       999.8026
  6    9       143.5600         0.8708       999.8026

  1   10         1.3668         0.9796       999.8719
  2   10         1.5678         0.9796       999.8531
  3   10         1.7689         0.9796       999.8342
  4   10         1.9699         0.9796       999.8154
  5   10         2.1710         0.9796       999.7966
  6   10       143.6300         0.9796       999.7966

  1   11         1.5083         1.0885       999.8586
  2   11         1.6902         1.0885       999.8416
  3   11         1.8721         1.0885       999.8245
  4   11         2.0540         1.0885       999.8075
  5   11         2.2359         1.0885       999.7905
  6   11       143.7000         1.0885       999.7905

  1   12         1.6498         1.1973       999.8454
  2   12         1.8125         1.1973       999.8301
  3   12         1.9753         1.1973       999.8149
  4   12         2.1380         1.1973       999.7996
  5   12         2.3008         1.1973       999.7844
  6   12       143.7700         1.1973       999.7844

  1   13         1.7913         1.3062       999.8322
  2   13         1.9349         1.3062       999.8187
  3   13         2.0785         1.3062       999.8052
  4   13         2.2221         1.3062       999.7917
  5   13         2.3657         1.3062       999.7783
  6   13       143.8400         1.3062       999.7783

  1   14         1.9328         1.4150       999.8188
  2   14         2.0572         1.4150       999.8072
  3   14         2.1817         1.4150       999.7955
  4   14         2.3061         1.4150       999.7839
  5   14         2.4306         1.4150       999.7722
  6   14       143.9100         1.4150       999.7722


  I    J        QC(I,J,1)      QC(I,J,2)     QC(I,J,3)
  1    1         0.3460         0.0544       999.9676
  2    1         0.7098         0.0544       999.9335
  3    1         1.0736         0.0544       999.8994
  4    1         1.4374         0.0544       999.8653

  1    2         0.4779         0.1633       999.9552
  2    2         0.8225         0.1633       999.9229
  3    2         1.1672         0.1633       999.8906
  4    2         1.5118         0.1633       999.8583

  1    3         0.6098         0.2721       999.9429
  2    3         0.9353         0.2721       999.9124
  3    3         1.2608         0.2721       999.8818
  4    3         1.5863         0.2721       999.8513

  1    4         0.7417         0.3810       999.9305
  2    4         1.0481         0.3810       999.9018
  3    4         1.3544         0.3810       999.8730
  4    4         1.6608         0.3810       999.8444

  1    5         0.8737         0.4898       999.9182
  2    5         1.1609         0.4898       999.8912
  3    5         1.4481         0.4898       999.8643
  4    5         1.7353         0.4898       999.8373

  1    6         1.0056         0.5987       999.9058
  2    6         1.2736         0.5987       999.8806
  3    6         1.5417         0.5987       999.8555
  4    6         1.8098         0.5987       999.8303

  1    7         1.1375         0.7075       999.8934
  2    7         1.3864         0.7075       999.8701
