  i     j          u          v             w
  1     1        0.019        0.001        0.218
  1     2        0.005        0.001        0.056
  1     3        0.002        0.001        0.030
  1     4        0.001        0.001        0.019
  1     5        0.001        0.000        0.014
  1     6        0.001        0.000        0.011
  1     7        0.000        0.000        0.009
  1     8        0.000        0.000        0.007
  1     9        0.000        0.000        0.006
  1    10        0.000        0.000        0.005
  1    11        0.000        0.000        0.004
  1    12        0.000        0.000        0.004
  1    13        0.000        0.000        0.003

  2     1        0.023        0.001        0.267
  2     2        0.006        0.001        0.069
  2     3        0.003        0.001        0.035
  2     4        0.001        0.001        0.022
  2     5        0.001        0.000        0.016
  2     6        0.001        0.000        0.012
  2     7        0.000        0.000        0.009
  2     8        0.000        0.000        0.008
  2     9        0.000        0.000        0.006
  2    10        0.000        0.000        0.005
  2    11        0.000        0.000        0.005
  2    12        0.000        0.000        0.004
  2    13        0.000        0.000        0.004

  3     1        0.024        0.002        0.282
  3     2        0.006        0.001        0.077
  3     3        0.002        0.001        0.039
  3     4        0.001        0.000        0.025
  3     5        0.001        0.000        0.017
  3     6        0.001        0.000        0.013
  3     7        0.000        0.000        0.010
  3     8        0.000        0.000        0.008
  3     9        0.000        0.000        0.007
  3    10        0.000        0.000        0.006
  3    11        0.000        0.000        0.005
  3    12        0.000        0.000        0.004
  3    13        0.000        0.000        0.004

  4     1        0.022        0.004        0.290
  4     2        0.004        0.001        0.082
  4     3        0.002        0.000        0.042
  4     4        0.001        0.000        0.027
  4     5        0.001        0.000        0.019
  4     6        0.000        0.000        0.014
  4     7        0.000        0.000        0.011
  4     8        0.000        0.000        0.009
  4     9        0.000        0.000        0.007
  4    10        0.000        0.000        0.006
  4    11        0.000        0.000        0.005
  4    12        0.000        0.000        0.004
  4    13        0.000        0.000        0.004

