     xMesh     yMesh     zMesh
     0.000     0.000    -0.000
     0.569     0.000    -0.050
     1.139     0.000    -0.100
     1.708     0.000    -0.149
     2.277     0.000    -0.199
     2.846     0.000    -0.249
     3.416     0.000    -0.299
     3.985     0.000    -0.349
     3.898     0.565    -0.341
     3.354     0.565    -0.293
     2.809     0.565    -0.246
     2.265     0.565    -0.198
     1.720     0.565    -0.150
     1.176     0.565    -0.103
     0.631     0.565    -0.055
     0.087     0.565    -0.008
     0.173     1.130    -0.015
     0.693     1.130    -0.061
     1.213     1.130    -0.106
     1.733     1.130    -0.152
     2.252     1.130    -0.197
     2.772     1.130    -0.243
     3.292     1.130    -0.288
     3.812     1.130    -0.333
     3.725     1.696    -0.326
     3.230     1.696    -0.283
     2.735     1.696    -0.239
     2.240     1.696    -0.196
     1.745     1.696    -0.153
     1.250     1.696    -0.109
     0.755     1.696    -0.066
     0.260     1.696    -0.023
     0.347     2.261    -0.030
     0.817     2.261    -0.071
     1.287     2.261    -0.113
     1.757     2.261    -0.154
     2.228     2.261    -0.195
     2.698     2.261    -0.236
     3.168     2.261    -0.277
     3.638     2.261    -0.318
     3.552     2.826    -0.311
     3.106     2.826    -0.272
     2.661     2.826    -0.233
     2.215     2.826    -0.194
     1.770     2.826    -0.155
     1.324     2.826    -0.116
     0.879     2.826    -0.077
     0.433     2.826    -0.038
     0.520     3.391    -0.045
     0.941     3.391    -0.082
     1.361     3.391    -0.119
     1.782     3.391    -0.156
     2.203     3.391    -0.193
     2.624     3.391    -0.230
     3.044     3.391    -0.266
     3.465     3.391    -0.303
     3.378     3.957    -0.296
     2.982     3.957    -0.261
     2.586     3.957    -0.226
     2.190     3.957    -0.192
     1.794     3.957    -0.157
     1.398     3.957    -0.122
     1.002     3.957    -0.088
     0.606     3.957    -0.053
     0.693     4.522    -0.061
     1.064     4.522    -0.093
     1.436     4.522    -0.126
     1.807     4.522    -0.158
     2.178     4.522    -0.191
     2.549     4.522    -0.223
     2.921     4.522    -0.256
     3.292     4.522    -0.288
     3.205     5.087    -0.280
     2.859     5.087    -0.250
     2.512     5.087    -0.220
     2.166     5.087    -0.189
     1.819     5.087    -0.159
     1.473     5.087    -0.129
     1.126     5.087    -0.099
     0.780     5.087    -0.068
     0.866     5.652    -0.076
     1.188     5.652    -0.104
     1.510     5.652    -0.132
     1.832     5.652    -0.160
     2.153     5.652    -0.188
     2.475     5.652    -0.217
     2.797     5.652    -0.245
     3.119     5.652    -0.273
     3.032     6.217    -0.265
     2.735     6.217    -0.239
     2.438     6.217    -0.213
     2.141     6.217    -0.187
     1.844     6.217    -0.161
     1.547     6.217    -0.135
     1.250     6.217    -0.109
     0.953     6.217    -0.083
     1.040     6.783    -0.091
     1.312     6.783    -0.115
     1.584     6.783    -0.139
     1.856     6.783    -0.162
     2.129     6.783    -0.186
     2.401     6.783    -0.210
     2.673     6.783    -0.234
     2.945     6.783    -0.258
     2.859     7.348    -0.250
     2.611     7.348    -0.228
     2.364     7.348    -0.207
     2.116     7.348    -0.185
     1.869     7.348    -0.163
     1.621     7.348    -0.142
     1.374     7.348    -0.120
     1.126     7.348    -0.099
     1.213     7.913    -0.106
     1.436     7.913    -0.126
     1.658     7.913    -0.145
     1.881     7.913    -0.165
     2.104     7.913    -0.184
     2.327     7.913    -0.204
     2.549     7.913    -0.223
     2.772     7.913    -0.243
     2.685     8.478    -0.235
     2.487     8.478    -0.218
     2.289     8.478    -0.200
     2.091     8.478    -0.183
     1.893     8.478    -0.166
     1.695     8.478    -0.148
     1.497     8.478    -0.131
     1.299     8.478    -0.114
     1.386     9.043    -0.121
     1.559     9.043    -0.136
     1.733     9.043    -0.152
     1.906     9.043    -0.167
     2.079     9.043    -0.182
     2.252     9.043    -0.197
     2.426     9.043    -0.212
     2.599     9.043    -0.227
     2.512     9.609    -0.220
     2.364     9.609    -0.207
     2.215     9.609    -0.194
     2.067     9.609    -0.181
     1.918     9.609    -0.168
     1.770     9.609    -0.155
     1.621     9.609    -0.142
     1.473     9.609    -0.129
     1.559    10.174    -0.136
     1.683    10.174    -0.147
     1.807    10.174    -0.158
     1.931    10.174    -0.169
     2.054    10.174    -0.180
     2.178    10.174    -0.191
     2.302    10.174    -0.201
     2.426    10.174    -0.212
     2.339    10.739    -0.205
     2.240    10.739    -0.196
     2.141    10.739    -0.187
     2.042    10.739    -0.179
     1.943    10.739    -0.170
     1.844    10.739    -0.161
     1.745    10.739    -0.153
     1.646    10.739    -0.144
     1.733    11.304    -0.152
     1.807    11.304    -0.158
     1.881    11.304    -0.165
     1.955    11.304    -0.171
     2.030    11.304    -0.178
     2.104    11.304    -0.184
     2.178    11.304    -0.191
     2.252    11.304    -0.197
     2.166    11.870    -0.189
     2.116    11.870    -0.185
     2.067    11.870    -0.181
     2.017    11.870    -0.176
     1.968    11.870    -0.172
     1.918    11.870    -0.168
     1.869    11.870    -0.163
     1.819    11.870    -0.159
     1.906    12.435    -0.167
     1.931    12.435    -0.169
     1.955    12.435    -0.171
     1.980    12.435    -0.173
     2.005    12.435    -0.175
     2.030    12.435    -0.178
     2.054    12.435    -0.180
     2.079    12.435    -0.182
     1.992    13.000    -0.174
     1.992    13.000    -0.174
     1.992    13.000    -0.174
     1.992    13.000    -0.174
     1.992    13.000    -0.174
     1.992    13.000    -0.174
     1.992    13.000    -0.174
     1.992    13.000    -0.174
