S.Span: 1.41 Avg.Chord: 1.00
Lambda: 53.5 Phi:  0.0 H.G.: 1000.0
 Alpha vs. CD
   1.14591551       1.24564409E-04
   2.29183102       4.96056047E-04
   3.43774676       1.11626927E-03
   4.58366203       1.98061485E-03
   5.72957706       3.08695296E-03
   6.87549305       4.43599373E-03
   8.02140808       6.02104934E-03
   9.16732407       7.84068368E-03
   10.3132391       9.88448877E-03
   11.4591541       1.21543538E-02
   12.6050692       1.46423932E-02
   13.7509842       1.73345804E-02
   14.8968992       2.02422440E-02
   16.0428162       2.33479198E-02
   17.1887321       2.66298205E-02
   18.3346481       3.00998893E-02
   19.4805641       3.37463841E-02
   20.6264801       3.75512280E-02
   21.7723961       4.15273011E-02
   22.9183140       4.56280038E-02
   24.0642281       4.98839207E-02
   25.2101460       5.42600490E-02
   26.3560619       5.87553084E-02
   27.5019779       6.33543581E-02
   28.6478920       6.80281743E-02
   29.7938061       7.28361309E-02
   30.9397221       7.77030140E-02
   32.0856361       8.26272741E-02
   33.2315483       8.76226500E-02
   34.3774643       9.26627070E-02
   35.5233803       9.77484956E-02
   36.6692963      0.102821693    
   37.8152084      0.107936360    
   38.9611206      0.113047309    
   40.1070366      0.118175186    
   41.2529526      0.123296663    
   42.3988647      0.128363758    
   43.5447807      0.133430377    
   44.6906967      0.138457730    
   45.8366089      0.143438473    
   46.9825249      0.148366153    
   48.1284370      0.153239265    
   49.2743492      0.158045426    
   50.4202690      0.162779450    
   51.5661812      0.167445555    
   52.7120972      0.172012702    
   53.8580093      0.176494360    
   55.0039253      0.180879205    
   56.1498413      0.185203478    
   57.2957535      0.189391777    
   58.4416695      0.193516538    
