S.Span: 1.41 Avg.Chord: 1.00
Lambda: 53.5 Phi  0.0 H.G.: 1000.0
 Alpha vs. CL
   1.14591551       5.59391752E-02
   2.29183102      0.111780591    
   3.43774676      0.167632639    
   4.58366203      0.223431081    
   5.72957706      0.279072195    
   6.87549305      0.334661335    
   8.02140808      0.390160859    
   9.16732407      0.445495635    
   10.3132391      0.500643492    
   11.4591541      0.555635571    
   12.6050692      0.610452056    
   13.7509842      0.664947689    
   14.8968992      0.719336271    
   16.0428162      0.773461580    
   17.1887321      0.827188730    
   18.3346481      0.880644858    
   19.4805641      0.933886528    
   20.6264801      0.986662328    
   21.7723961       1.03919137    
   22.9183140       1.09129488    
   24.0642281       1.14302576    
   25.2101460       1.19434857    
   26.3560619       1.24523187    
   27.5019779       1.29567695    
   28.6478920       1.34552073    
   29.7938061       1.39516330    
   30.9397221       1.44423592    
   32.0856361       1.49272943    
   33.2315483       1.54073477    
   34.3774643       1.58823264    
   35.5233803       1.63520384    
   36.6692963       1.68140924    
   37.8152084       1.72713494    
   38.9611206       1.77223909    
   40.1070366       1.81677186    
   41.2529526       1.86061597    
   42.3988647       1.90386033    
   43.5447807       1.94636869    
   44.6906967       1.98830652    
   45.8366089       2.02948880    
   46.9825249       2.07004452    
   48.1284370       2.10984993    
   49.2743492       2.14887261    
   50.4202690       2.18724298    
   51.5661812       2.22489548    
   52.7120972       2.26166916    
   53.8580093       2.29771829    
   55.0039253       2.33296800    
   56.1498413       2.36757278    
   57.2957535       2.40120959    
   58.4416695       2.43419647    
