S.Span: 1.41 Avg.Chord: 1.00
Lambda: 53.5 Phi:  0.0 H.G.: 1000.0
 Alpha vs. CM
   1.14591551       6.05595261E-02
   2.29183102      0.120892338    
   3.43774676      0.181137010    
   4.58366203      0.241074532    
   5.72957706      0.300534338    
   6.87549305      0.359612375    
   8.02140808      0.418135881    
   9.16732407      0.475991666    
   10.3132391      0.533041954    
   11.4591541      0.589302361    
   12.6050692      0.644655526    
   13.7509842      0.698866487    
   14.8968992      0.752161384    
   16.0428162      0.804259181    
   17.1887321      0.854919553    
   18.3346481      0.904302835    
   19.4805641      0.952365816    
   20.6264801      0.998782754    
   21.7723961       1.04377055    
   22.9183140       1.08699274    
   24.0642281       1.12859952    
   25.2101460       1.16841173    
   26.3560619       1.20636702    
   27.5019779       1.24243331    
   28.6478920       1.27637386    
   29.7938061       1.30862749    
   30.9397221       1.33877456    
   32.0856361       1.36671734    
   33.2315483       1.39254928    
   34.3774643       1.41625547    
   35.5233803       1.43776441    
   36.6692963       1.45679462    
   37.8152084       1.47365332    
   38.9611206       1.48820162    
   40.1070366       1.50046289    
   41.2529526       1.51032567    
   42.3988647       1.51778328    
   43.5447807       1.52289188    
   44.6906967       1.52563024    
   45.8366089       1.52594614    
   46.9825249       1.52383530    
   48.1284370       1.51937616    
   49.2743492       1.51247871    
   50.4202690       1.50322425    
   51.5661812       1.49158716    
   52.7120972       1.47756565    
   53.8580093       1.46119821    
   55.0039253       1.44253469    
   56.1498413       1.42160952    
   57.2957535       1.39838398    
   58.4416695       1.37296939    
