        x               Cp
  0.944809437      0.609111547    
  0.925066411     -0.248370767    
  0.905359745     -0.439221978    
  0.885689080     -0.458694816    
  0.866053581     -0.433875203    
  0.846452892     -0.397320271    
  0.826886415     -0.358645678    
  0.807353437     -0.320899248    
  0.787853479     -0.284967065    
  0.768385828     -0.250970721    
  0.748950005     -0.218780160    
  0.729545057     -0.188177466    
  0.710170269     -0.158927560    
  0.690824926     -0.130817294    
  0.671508133     -0.103661299    
  0.652218819      -7.72939920E-02
  0.632956028      -5.15975952E-02
  0.613718688      -2.64416933E-02
  0.594505548      -1.74760818E-03
  0.575315118       2.25588679E-02
  0.556146085       4.65250015E-02
  0.536996841       7.01972842E-02
  0.517865658       9.35898423E-02
  0.498750627      0.116707563    
  0.479649723      0.139505327    
  0.460560590      0.161926448    
  0.441480786      0.183782160    
  0.422407627      0.204729974    
  0.403338134      0.223692954    
  0.384433895      0.242141068    
  0.365706205      0.263472378    
  0.346999764      0.288065195    
  0.328307629      0.315023184    
  0.309621960      0.343986392    
  0.290934205      0.374771893    
  0.272234678      0.407329917    
  0.253512502      0.441652119    
  0.234755203      0.477792084    
  0.215948477      0.515887260    
  0.197075516      0.556118011    
  0.178116187      0.598757684    
  0.159045845      0.644172311    
  0.139833108      0.692850113    
  0.120436452      0.745352924    
  0.100797266      0.802262604    
   8.08254778E-02  0.863706350    
   6.03625849E-02  0.927728832    
   3.90498005E-02  0.983388126    
   1.40585098E-02  0.987049699    
   4.55158204E-03 -0.646107078    
   1.68254636E-02 -0.917515755    
   3.28678302E-02 -0.637529969    
   4.98500690E-02 -0.448027253    
   6.74134046E-02 -0.315042615    
   8.53993073E-02 -0.216872573    
  0.103717729     -0.141471982    
  0.122310072      -8.17680359E-02
  0.141134739      -3.34200859E-02
  0.160160437       6.42943382E-03
  0.179362476       3.97358537E-02
  0.198720723       6.78313971E-02
  0.218218386       9.17039514E-02
  0.237841129      0.112052798    
  0.257576525      0.129415393    
  0.277413666      0.144160032    
  0.297342926      0.156548798    
  0.317355633      0.166658342    
  0.337444037      0.174393475    
  0.357601166      0.179009378    
  0.377659202      0.180546820    
  0.397604525      0.181293368    
  0.417586118      0.183324575    
  0.437601089      0.185621381    
  0.457646728      0.187882721    
  0.477720588      0.189958632    
  0.497820318      0.191795886    
  0.517943859      0.193365514    
  0.538089395      0.194656849    
  0.558255076      0.195660114    
  0.578439355      0.196388245    
  0.598640919      0.196828127    
  0.618858218      0.196995497    
  0.639090180      0.196869493    
  0.659335554      0.196485221    
  0.679593444      0.195810199    
  0.699862659      0.194869041    
  0.720142603      0.193644941    
  0.740432262      0.192126513    
  0.760730982      0.190336049    
  0.781037986      0.188234508    
  0.801352680      0.185809314    
  0.821674347      0.183015585    
  0.842002392      0.179805040    
  0.862336278      0.176035583    
  0.882675469      0.171518028    
  0.903019309      0.166353524    
  0.923367262      0.163406730    
  0.943718791      0.183098435    
  0.964073360      0.431198955    
