    i    j    Gamma(i,j)
    1    1    -2.80248
    2    1     0.18393
    3    1    -0.15460
    4    1    -0.47176
    5    1    -0.77813
    6    1    -1.07674
    7    1    -1.36886
    8    1    -1.65521
    9    1    -1.93584
   10    1    -2.20753
   11    1    -2.47131
   12    1    -2.73053
   13    1    -2.98296
   14    1    -3.21836
   15    1    -3.39238
   16    1    -2.77292
   17    1    -2.06203
   18    1    -1.47197
   19    1    -0.92837
   20    1    -0.41541
   21    1     0.07312
   22    1     0.53630
   23    1     0.97815
   24    1     1.40754
   25    1     1.82802
   26    1     2.24191
   27    1     2.65105
   28    1     3.05821
   29    1     3.47267
   30    1     3.93848
    1    2    -2.21501
    2    2     0.59113
    3    2     0.26948
    4    2    -0.03738
    5    2    -0.33868
    6    2    -0.63692
    7    2    -0.93296
    8    2    -1.22703
    9    2    -1.51872
   10    2    -1.80455
   11    2    -2.08537
   12    2    -2.36524
   13    2    -2.64471
   14    2    -2.92133
   15    2    -3.18178
   16    2    -2.84241
   17    2    -2.21940
   18    2    -1.65512
   19    2    -1.10999
   20    2    -0.57930
   21    2    -0.06321
   22    2     0.43287
   23    2     0.90966
   24    2     1.37374
   25    2     1.82687
   26    2     2.27015
   27    2     2.70472
   28    2     3.13305
   29    2     3.56411
   30    2     4.03807
    1    3    -1.96011
    2    3     0.74565
    3    3     0.43268
    4    3     0.13215
    5    3    -0.16446
    6    3    -0.45941
    7    3    -0.75349
    8    3    -1.04698
    9    3    -1.33953
   10    3    -1.62781
   11    3    -1.91284
   12    3    -2.19914
   13    3    -2.48812
   14    3    -2.77931
   15    3    -3.06739
   16    3    -2.80614
   17    3    -2.21415
   18    3    -1.66611
   19    3    -1.13076
   20    3    -0.60568
   21    3    -0.09217
   22    3     0.40354
   23    3     0.88153
   24    3     1.34792
   25    3     1.80416
   26    3     2.25108
   27    3     2.68963
   28    3     3.12212
   29    3     3.55724
   30    3     4.03350
    1    4    -1.85315
    2    4     0.80975
    3    4     0.50016
    4    4     0.20202
    5    4    -0.09289
    6    4    -0.38673
    7    4    -0.68023
    8    4    -0.97366
    9    4    -1.26672
   10    4    -1.55610
   11    4    -1.84289
   12    4    -2.13176
   13    4    -2.42438
   14    4    -2.72097
   15    4    -3.01888
   16    4    -2.78446
   17    4    -2.20365
   18    4    -1.66200
   19    4    -1.13100
   20    4    -0.60895
   21    4    -0.09746
   22    4     0.39702
   23    4     0.87439
   24    4     1.34066
   25    4     1.79718
   26    4     2.24473
   27    4     2.68418
   28    4     3.11781
   29    4     3.55417
   30    4     4.03104
    1    5    -1.82311
    2    5     0.82772
    3    5     0.51903
    4    5     0.22150
    5    5    -0.07299
    6    5    -0.36656
    7    5    -0.65994
    8    5    -0.95340
    9    5    -1.24663
   10    5    -1.53634
   11    5    -1.82361
