     xMesh     yMesh     zMesh
    0.0000      0.0000      0.0000
    0.0895      0.0000     -0.0093
    0.1791      0.0000     -0.0199
    0.2686      0.0000     -0.0317
    0.3581      0.0000     -0.0449
    0.4476      0.0000     -0.0594
    0.5372      0.0000     -0.0752
    0.6267      0.0000     -0.0923
    0.7162      0.0000     -0.1107
    0.8058      0.0000     -0.1304
    0.8953      0.0000     -0.1514
    0.9848      0.0000     -0.1736
    0.9848      0.5333     -0.1736
    0.8953      0.5333     -0.1514
    0.8058      0.5333     -0.1304
    0.7162      0.5333     -0.1107
    0.6267      0.5333     -0.0923
    0.5372      0.5333     -0.0752
    0.4476      0.5333     -0.0594
    0.3581      0.5333     -0.0449
    0.2686      0.5333     -0.0317
    0.1791      0.5333     -0.0199
    0.0895      0.5333     -0.0093
    0.0000      0.5333      0.0000
    0.0000      1.0667      0.0000
    0.0895      1.0667     -0.0093
    0.1791      1.0667     -0.0199
    0.2686      1.0667     -0.0317
    0.3581      1.0667     -0.0449
    0.4476      1.0667     -0.0594
    0.5372      1.0667     -0.0752
    0.6267      1.0667     -0.0923
    0.7162      1.0667     -0.1107
    0.8058      1.0667     -0.1304
    0.8953      1.0667     -0.1514
    0.9848      1.0667     -0.1736
    0.9848      1.6000     -0.1736
    0.8953      1.6000     -0.1514
    0.8058      1.6000     -0.1304
    0.7162      1.6000     -0.1107
    0.6267      1.6000     -0.0923
    0.5372      1.6000     -0.0752
    0.4476      1.6000     -0.0594
    0.3581      1.6000     -0.0449
    0.2686      1.6000     -0.0317
    0.1791      1.6000     -0.0199
    0.0895      1.6000     -0.0093
    0.0000      1.6000      0.0000
    0.0000      2.1333      0.0000
    0.0895      2.1333     -0.0093
    0.1791      2.1333     -0.0199
    0.2686      2.1333     -0.0317
    0.3581      2.1333     -0.0449
    0.4476      2.1333     -0.0594
    0.5372      2.1333     -0.0752
    0.6267      2.1333     -0.0923
    0.7162      2.1333     -0.1107
    0.8058      2.1333     -0.1304
    0.8953      2.1333     -0.1514
    0.9848      2.1333     -0.1736
    0.9848      2.6667     -0.1736
    0.8953      2.6667     -0.1514
    0.8058      2.6667     -0.1304
    0.7162      2.6667     -0.1107
    0.6267      2.6667     -0.0923
    0.5372      2.6667     -0.0752
    0.4476      2.6667     -0.0594
    0.3581      2.6667     -0.0449
    0.2686      2.6667     -0.0317
    0.1791      2.6667     -0.0199
    0.0895      2.6667     -0.0093
    0.0000      2.6667      0.0000
    0.0000      3.2000      0.0000
    0.0895      3.2000     -0.0093
    0.1791      3.2000     -0.0199
    0.2686      3.2000     -0.0317
    0.3581      3.2000     -0.0449
    0.4476      3.2000     -0.0594
    0.5372      3.2000     -0.0752
    0.6267      3.2000     -0.0923
    0.7162      3.2000     -0.1107
    0.8058      3.2000     -0.1304
    0.8953      3.2000     -0.1514
    0.9848      3.2000     -0.1736
    0.9848      3.7333     -0.1736
    0.8953      3.7333     -0.1514
    0.8058      3.7333     -0.1304
    0.7162      3.7333     -0.1107
    0.6267      3.7333     -0.0923
    0.5372      3.7333     -0.0752
    0.4476      3.7333     -0.0594
    0.3581      3.7333     -0.0449
    0.2686      3.7333     -0.0317
    0.1791      3.7333     -0.0199
    0.0895      3.7333     -0.0093
    0.0000      3.7333      0.0000
    0.0000      4.2667      0.0000
    0.0895      4.2667     -0.0093
    0.1791      4.2667     -0.0199
    0.2686      4.2667     -0.0317
    0.3581      4.2667     -0.0449
    0.4476      4.2667     -0.0594
    0.5372      4.2667     -0.0752
    0.6267      4.2667     -0.0923
    0.7162      4.2667     -0.1107
    0.8058      4.2667     -0.1304
    0.8953      4.2667     -0.1514
    0.9848      4.2667     -0.1736
    0.9848      4.8000     -0.1736
    0.8953      4.8000     -0.1514
    0.8058      4.8000     -0.1304
    0.7162      4.8000     -0.1107
    0.6267      4.8000     -0.0923
    0.5372      4.8000     -0.0752
    0.4476      4.8000     -0.0594
    0.3581      4.8000     -0.0449
    0.2686      4.8000     -0.0317
    0.1791      4.8000     -0.0199
    0.0895      4.8000     -0.0093
    0.0000      4.8000      0.0000
    0.0000      5.3333      0.0000
    0.0895      5.3333     -0.0093
    0.1791      5.3333     -0.0199
    0.2686      5.3333     -0.0317
    0.3581      5.3333     -0.0449
    0.4476      5.3333     -0.0594
    0.5372      5.3333     -0.0752
    0.6267      5.3333     -0.0923
    0.7162      5.3333     -0.1107
    0.8058      5.3333     -0.1304
    0.8953      5.3333     -0.1514
    0.9848      5.3333     -0.1736
    0.9848      5.8667     -0.1736
    0.8953      5.8667     -0.1514
    0.8058      5.8667     -0.1304
    0.7162      5.8667     -0.1107
    0.6267      5.8667     -0.0923
    0.5372      5.8667     -0.0752
    0.4476      5.8667     -0.0594
    0.3581      5.8667     -0.0449
    0.2686      5.8667     -0.0317
    0.1791      5.8667     -0.0199
    0.0895      5.8667     -0.0093
    0.0000      5.8667      0.0000
    0.0000      6.4000      0.0000
    0.0895      6.4000     -0.0093
    0.1791      6.4000     -0.0199
    0.2686      6.4000     -0.0317
    0.3581      6.4000     -0.0449
    0.4476      6.4000     -0.0594
    0.5372      6.4000     -0.0752
    0.6267      6.4000     -0.0923
    0.7162      6.4000     -0.1107
    0.8058      6.4000     -0.1304
    0.8953      6.4000     -0.1514
    0.9848      6.4000     -0.1736
    0.9848      6.9333     -0.1736
    0.8953      6.9333     -0.1514
    0.8058      6.9333     -0.1304
    0.7162      6.9333     -0.1107
    0.6267      6.9333     -0.0923
    0.5372      6.9333     -0.0752
    0.4476      6.9333     -0.0594
    0.3581      6.9333     -0.0449
    0.2686      6.9333     -0.0317
    0.1791      6.9333     -0.0199
    0.0895      6.9333     -0.0093
    0.0000      6.9333      0.0000
    0.0000      7.4667      0.0000
    0.0895      7.4667     -0.0093
    0.1791      7.4667     -0.0199
    0.2686      7.4667     -0.0317
    0.3581      7.4667     -0.0449
    0.4476      7.4667     -0.0594
    0.5372      7.4667     -0.0752
    0.6267      7.4667     -0.0923
    0.7162      7.4667     -0.1107
    0.8058      7.4667     -0.1304
    0.8953      7.4667     -0.1514
    0.9848      7.4667     -0.1736
    0.9848      8.0000     -0.1736
    0.8953      8.0000     -0.1514
    0.8058      8.0000     -0.1304
    0.7162      8.0000     -0.1107
    0.6267      8.0000     -0.0923
    0.5372      8.0000     -0.0752
    0.4476      8.0000     -0.0594
    0.3581      8.0000     -0.0449
    0.2686      8.0000     -0.0317
    0.1791      8.0000     -0.0199
    0.0895      8.0000     -0.0093
    0.0000      8.0000      0.0000
    0.0000      0.0000      0.0000
    0.0000      0.5333      0.0000
    0.0000      1.0667      0.0000
    0.0000      1.6000      0.0000
    0.0000      2.1333      0.0000
    0.0000      2.6667      0.0000
    0.0000      3.2000      0.0000
    0.0000      3.7333      0.0000
    0.0000      4.2667      0.0000
    0.0000      4.8000      0.0000
    0.0000      5.3333      0.0000
    0.0000      5.8667      0.0000
    0.0000      6.4000      0.0000
    0.0000      6.9333      0.0000
    0.0000      7.4667      0.0000
    0.0000      8.0000      0.0000
    0.0895      8.0000     -0.0093
    0.0895      7.4667     -0.0093
    0.0895      6.9333     -0.0093
    0.0895      6.4000     -0.0093
    0.0895      5.8667     -0.0093
    0.0895      5.3333     -0.0093
    0.0895      4.8000     -0.0093
    0.0895      4.2667     -0.0093
    0.0895      3.7333     -0.0093
    0.0895      3.2000     -0.0093
    0.0895      2.6667     -0.0093
    0.0895      2.1333     -0.0093
    0.0895      1.6000     -0.0093
    0.0895      1.0667     -0.0093
    0.0895      0.5333     -0.0093
    0.0895      0.0000     -0.0093
    0.1791      0.0000     -0.0199
    0.1791      0.5333     -0.0199
    0.1791      1.0667     -0.0199
    0.1791      1.6000     -0.0199
    0.1791      2.1333     -0.0199
    0.1791      2.6667     -0.0199
    0.1791      3.2000     -0.0199
    0.1791      3.7333     -0.0199
    0.1791      4.2667     -0.0199
    0.1791      4.8000     -0.0199
    0.1791      5.3333     -0.0199
    0.1791      5.8667     -0.0199
    0.1791      6.4000     -0.0199
    0.1791      6.9333     -0.0199
    0.1791      7.4667     -0.0199
    0.1791      8.0000     -0.0199
    0.2686      8.0000     -0.0317
    0.2686      7.4667     -0.0317
    0.2686      6.9333     -0.0317
    0.2686      6.4000     -0.0317
    0.2686      5.8667     -0.0317
    0.2686      5.3333     -0.0317
    0.2686      4.8000     -0.0317
    0.2686      4.2667     -0.0317
    0.2686      3.7333     -0.0317
    0.2686      3.2000     -0.0317
    0.2686      2.6667     -0.0317
    0.2686      2.1333     -0.0317
    0.2686      1.6000     -0.0317
    0.2686      1.0667     -0.0317
    0.2686      0.5333     -0.0317
    0.2686      0.0000     -0.0317
    0.3581      0.0000     -0.0449
    0.3581      0.5333     -0.0449
    0.3581      1.0667     -0.0449
    0.3581      1.6000     -0.0449
    0.3581      2.1333     -0.0449
    0.3581      2.6667     -0.0449
    0.3581      3.2000     -0.0449
    0.3581      3.7333     -0.0449
    0.3581      4.2667     -0.0449
    0.3581      4.8000     -0.0449
    0.3581      5.3333     -0.0449
    0.3581      5.8667     -0.0449
    0.3581      6.4000     -0.0449
    0.3581      6.9333     -0.0449
    0.3581      7.4667     -0.0449
    0.3581      8.0000     -0.0449
    0.4476      8.0000     -0.0594
    0.4476      7.4667     -0.0594
    0.4476      6.9333     -0.0594
    0.4476      6.4000     -0.0594
    0.4476      5.8667     -0.0594
    0.4476      5.3333     -0.0594
    0.4476      4.8000     -0.0594
    0.4476      4.2667     -0.0594
    0.4476      3.7333     -0.0594
    0.4476      3.2000     -0.0594
    0.4476      2.6667     -0.0594
    0.4476      2.1333     -0.0594
    0.4476      1.6000     -0.0594
    0.4476      1.0667     -0.0594
    0.4476      0.5333     -0.0594
    0.4476      0.0000     -0.0594
    0.5372      0.0000     -0.0752
    0.5372      0.5333     -0.0752
    0.5372      1.0667     -0.0752
    0.5372      1.6000     -0.0752
    0.5372      2.1333     -0.0752
    0.5372      2.6667     -0.0752
    0.5372      3.2000     -0.0752
    0.5372      3.7333     -0.0752
    0.5372      4.2667     -0.0752
    0.5372      4.8000     -0.0752
    0.5372      5.3333     -0.0752
    0.5372      5.8667     -0.0752
    0.5372      6.4000     -0.0752
    0.5372      6.9333     -0.0752
    0.5372      7.4667     -0.0752
    0.5372      8.0000     -0.0752
    0.6267      8.0000     -0.0923
    0.6267      7.4667     -0.0923
    0.6267      6.9333     -0.0923
    0.6267      6.4000     -0.0923
    0.6267      5.8667     -0.0923
    0.6267      5.3333     -0.0923
    0.6267      4.8000     -0.0923
    0.6267      4.2667     -0.0923
    0.6267      3.7333     -0.0923
    0.6267      3.2000     -0.0923
    0.6267      2.6667     -0.0923
