S.Span: 1.41 Avg.Chord: 1.00
Lambda: 53.5 Alpha:  0.0 H.G.: 1000.0
 Phi vs. CD
   1.14591551       1.87885528E-03
   2.29183102       1.72225072E-03
   3.43774676       1.53450598E-03
   4.58366203       1.31020194E-03
   5.72957706       1.03885506E-03
   6.87549305       6.94025133E-04
   8.02140808       2.51202728E-04
   9.16732407      -3.64292879E-04
   10.3132391      -1.29799568E-03
   11.4591541      -3.17123043E-03
   12.6050692      -1.85642987E-02
   13.7509842      -2.73654535E-02
   14.8968992      -1.68890338E-02
   16.0428162      -2.38031764E-02
   17.1887321      -2.72667110E-02
   18.3346481      -2.09244601E-02
   19.4805641      -2.60805506E-02
   20.6264801      -1.01750782E-02
   21.7723961     -0.124495380    
   22.9183140      -1.27230525    
   24.0642281     -0.846041799    
   25.2101460     -0.106699727    
   26.3560619      -1.49149140E-02
   27.5019779       1.70576759E-03
   28.6478920       4.24273219E-03
   29.7938061       4.80353413E-03
   30.9397221       4.78690770E-03
   32.0856361       4.61013475E-03
   33.2315483       4.39710077E-03
   34.3774643       4.18725563E-03
   35.5233803       4.00355738E-03
   36.6692963       3.84200504E-03
   37.8152084       3.69557552E-03
   38.9611206       3.56810750E-03
   40.1070366       3.46050644E-03
   41.2529526       3.36012966E-03
   42.3988647       3.27843404E-03
   43.5447807       3.20257433E-03
   44.6906967       3.13521083E-03
   45.8366089       3.07956641E-03
   46.9825249       3.02173081E-03
   48.1284370       2.97522871E-03
   49.2743492       2.93473806E-03
   50.4202690       2.88938242E-03
   51.5661812       2.85792490E-03
   52.7120972       2.82398565E-03
   53.8580093       2.80005834E-03
   55.0039253       2.78799399E-03
   56.1498413       2.79738894E-03
   57.2957535       2.83111888E-03
   58.4416695       2.90744938E-03
