S.Span: 1.41 Avg.Chord: 1.00
Lambda: 53.5 Alpha:  5.4 H.G.: 1000.0
 Phi vs. CL
   1.14591551      0.260908067    
   2.29183102      0.260851562    
   3.43774676      0.260594636    
   4.58366203      0.260158181    
   5.72957706      0.259576201    
   6.87549305      0.258805752    
   8.02140808      0.257815093    
   9.16732407      0.256693751    
   10.3132391      0.255405754    
   11.4591541      0.253876150    
   12.6050692      0.252286226    
   13.7509842      0.250489861    
   14.8968992      0.248510569    
   16.0428162      0.246376902    
   17.1887321      0.244133294    
   18.3346481      0.241779611    
   19.4805641      0.239086568    
   20.6264801      0.236386195    
   21.7723961      0.233478859    
   22.9183140      0.230429396    
   24.0642281      0.227277622    
   25.2101460      0.224014848    
   26.3560619      0.220610797    
   27.5019779      0.217024878    
   28.6478920      0.213375330    
   29.7938061      0.209587798    
   30.9397221      0.205727205    
   32.0856361      0.201725423    
   33.2315483      0.197632462    
   34.3774643      0.193499237    
   35.5233803      0.189243957    
   36.6692963      0.184838757    
   37.8152084      0.180420741    
   38.9611206      0.175898194    
   40.1070366      0.171378583    
   41.2529526      0.166742772    
   42.3988647      0.162131548    
   43.5447807      0.157405883    
   44.6906967      0.152659088    
   45.8366089      0.147880763    
   46.9825249      0.143103674    
   48.1284370      0.138246238    
   49.2743492      0.133418232    
   50.4202690      0.128567457    
   51.5661812      0.123720929    
   52.7120972      0.118892267    
   53.8580093      0.114066266    
   55.0039253      0.109260224    
   56.1498413      0.104487807    
   57.2957535       9.97457430E-02
   58.4416695       9.50368270E-02
