

   ==================================================================================
   I     J       QC(I,J,1)       QC(I,J,2)       QC(I,J,3)      DCP(I,J)    GAMA(I,J)
   ==================================================================================
   1     1          0.346          0.054        999.968          0.346          0.316
   2     1          0.710          0.054        999.933          0.225          0.521
   3     1          1.074          0.054        999.899          0.166          0.672
   4     1          1.437          0.054        999.865          0.108          0.771

   1     2          0.478          0.163        999.955          0.402          0.348
   2     2          0.823          0.163        999.923          0.227          0.545
   3     2          1.167          0.163        999.891          0.162          0.685
   4     2          1.512          0.163        999.858          0.102          0.774

   1     3          0.610          0.272        999.943          0.453          0.370
   2     3          0.935          0.272        999.912          0.234          0.562
   3     3          1.261          0.272        999.882          0.160          0.693
   4     3          1.586          0.272        999.851          0.097          0.772

   1     4          0.742          0.381        999.930          0.497          0.383
   2     4          1.048          0.381        999.902          0.243          0.569
   3     4          1.354          0.381        999.873          0.160          0.693
   4     4          1.661          0.381        999.844          0.094          0.765

   1     5          0.874          0.490        999.918          0.537          0.387
   2     5          1.161          0.490        999.891          0.252          0.569
   3     5          1.448          0.490        999.864          0.162          0.686
   4     5          1.735          0.490        999.837          0.093          0.753

   1     6          1.006          0.599        999.906          0.573          0.386
   2     6          1.274          0.599        999.881          0.262          0.562
   3     6          1.542          0.599        999.856          0.164          0.673
   4     6          1.810          0.599        999.830          0.092          0.735

   1     7          1.138          0.707        999.893          0.607          0.380
   2     7          1.386          0.707        999.870          0.272          0.550
   3     7          1.635          0.707        999.847          0.167          0.654
   4     7          1.884          0.707        999.823          0.092          0.712

   1     8          1.269          0.816        999.881          0.640          0.369
   2     8          1.499          0.816        999.859          0.281          0.531
   3     8          1.729          0.816        999.838          0.169          0.629
   4     8          1.959          0.816        999.816          0.091          0.682

   1     9          1.401          0.925        999.869          0.670          0.354
   2     9          1.612          0.925        999.849          0.290          0.508
   3     9          1.823          0.925        999.829          0.170          0.597
   4     9          2.033          0.925        999.809          0.088          0.644

   1    10          1.533          1.034        999.856          0.697          0.335
   2    10          1.725          1.034        999.838          0.296          0.477
   3    10          1.916          1.034        999.820          0.166          0.557
   4    10          2.108          1.034        999.802          0.082          0.597

   1    11          1.665          1.143        999.844          0.720          0.311
   2    11          1.838          1.143        999.828          0.293          0.438
   3    11          2.010          1.143        999.812          0.153          0.505
   4    11          2.182          1.143        999.796          0.070          0.535

   1    12          1.797          1.252        999.832          0.727          0.280
   2    12          1.950          1.252        999.817          0.269          0.383
   3    12          2.103          1.252        999.803          0.121          0.430
   4    12          2.257          1.252        999.789          0.050          0.449

   1    13          1.929          1.361        999.819          0.673          0.226
   2    13          2.063          1.361        999.807          0.171          0.284
   3    13          2.197          1.361        999.794          0.064          0.306
   4    13          2.331          1.361        999.782          0.025          0.314

