  J      YLE       XLE       XTE       DX
  1     0.000     0.000     1.500     0.375
  2     0.109     0.147     1.570     0.356
  3     0.218     0.294     1.640     0.337
  4     0.327     0.441     1.710     0.317
  5     0.435     0.588     1.780     0.298
  6     0.544     0.735     1.850     0.279
  7     0.653     0.882     1.920     0.260
  8     0.762     1.028     1.990     0.240
  9     0.871     1.175     2.060     0.221
 10     0.980     1.322     2.130     0.202
 11     1.088     1.469     2.200     0.183
 12     1.197     1.616     2.270     0.163
 13     1.306     1.763     2.340     0.144
 14     1.415     1.910     2.410     0.125

  I    J        DS(I,J,1)      DS(I,J,2)      DS(I,J,3)     DS(I,J,4)
  1    1         0.0933        -0.0000         0.9956         0.0398
  2    1         0.0933        -0.0004         0.9956         0.0398
  3    1         0.0933        -0.0001         0.9956         0.0398
  4    1         0.0933         0.0001         0.9956         0.0398

  1    2         0.0932         0.0001         0.9956         0.0377
  2    2         0.0934         0.0001         0.9956         0.0377
  3    2         0.0933         0.0002         0.9956         0.0377
  4    2         0.0934         0.0000         0.9956         0.0377

  1    3         0.0933         0.0000         0.9956         0.0356
  2    3         0.0933        -0.0001         0.9956         0.0356
  3    3         0.0933        -0.0001         0.9956         0.0356
  4    3         0.0933        -0.0002         0.9956         0.0356

  1    4         0.0933        -0.0001         0.9956         0.0335
  2    4         0.0933         0.0002         0.9956         0.0335
  3    4         0.0932         0.0002         0.9956         0.0335
  4    4         0.0933         0.0001         0.9956         0.0335

  1    5         0.0933         0.0002         0.9956         0.0314
  2    5         0.0933        -0.0001         0.9956         0.0314
  3    5         0.0933         0.0001         0.9956         0.0314
  4    5         0.0933         0.0004         0.9956         0.0314

  1    6         0.0933        -0.0000         0.9956         0.0293
  2    6         0.0933         0.0002         0.9956         0.0293
  3    6         0.0934         0.0001         0.9956         0.0293
  4    6         0.0932        -0.0001         0.9956         0.0293

  1    7         0.0934        -0.0001         0.9956         0.0272
  2    7         0.0933        -0.0000         0.9956         0.0272
  3    7         0.0934        -0.0002         0.9956         0.0272
  4    7         0.0931         0.0002         0.9957         0.0272

  1    8         0.0935        -0.0003         0.9956         0.0251
  2    8         0.0932         0.0003         0.9956         0.0251
  3    8         0.0934         0.0001         0.9956         0.0251
  4    8         0.0932         0.0001         0.9956         0.0251

  1    9         0.0933        -0.0001         0.9956         0.0230
  2    9         0.0933        -0.0004         0.9956         0.0230
  3    9         0.0933        -0.0002         0.9956         0.0230
  4    9         0.0932        -0.0001         0.9956         0.0230

  1   10         0.0932         0.0002         0.9957         0.0209
  2   10         0.0935         0.0000         0.9956         0.0209
  3   10         0.0933         0.0001         0.9956         0.0209
  4   10         0.0932         0.0002         0.9957         0.0209

  1   11         0.0933         0.0000         0.9956         0.0188
  2   11         0.0935        -0.0002         0.9956         0.0188
  3   11         0.0933        -0.0001         0.9956         0.0188
  4   11         0.0933         0.0001         0.9956         0.0188

  1   12         0.0934        -0.0002         0.9956         0.0167
  2   12         0.0932        -0.0000         0.9956         0.0167
  3   12         0.0934        -0.0003         0.9956         0.0167
  4   12         0.0932        -0.0002         0.9956         0.0167

  1   13         0.0934         0.0001         0.9956         0.0147
  2   13         0.0932         0.0003         0.9956         0.0147
  3   13         0.0934         0.0001         0.9956         0.0147
  4   13         0.0932         0.0002         0.9956         0.0147

