   I      J      GAMA(I,J)
   1     1          0.316
   1     2          0.348
   1     3          0.370
   1     4          0.383
   1     5          0.387
   1     6          0.386
   1     7          0.380
   1     8          0.369
   1     9          0.354
   1    10          0.335
   1    11          0.311
   1    12          0.280
   1    13          0.226
   2     1          0.521
   2     2          0.545
   2     3          0.562
   2     4          0.569
   2     5          0.569
   2     6          0.562
   2     7          0.550
   2     8          0.531
   2     9          0.508
   2    10          0.477
   2    11          0.438
   2    12          0.383
   2    13          0.284
   3     1          0.672
   3     2          0.685
   3     3          0.693
   3     4          0.693
   3     5          0.686
   3     6          0.673
   3     7          0.654
   3     8          0.629
   3     9          0.597
   3    10          0.557
   3    11          0.505
   3    12          0.430
   3    13          0.306
   4     1          0.771
   4     2          0.774
   4     3          0.772
   4     4          0.765
   4     5          0.753
   4     6          0.735
   4     7          0.712
   4     8          0.682
   4     9          0.644
   4    10          0.597
   4    11          0.535
   4    12          0.449
   4    13          0.314
