  I     J          U          V             W
  1     1       -0.397        0.003       -4.250
  1     2       -0.226        0.002       -2.428
  1     3       -0.199        0.002       -2.147
  1     4       -0.194        0.002       -2.092
  1     5       -0.194        0.001       -2.121
  1     6       -0.201        0.001       -2.199
  1     7       -0.211        0.002       -2.314
  1     8       -0.224       -0.000       -2.465
  1     9       -0.241       -0.002       -2.657
  1    10       -0.264       -0.002       -2.898
  1    11       -0.293       -0.004       -3.209
  1    12       -0.335       -0.003       -3.635
  1    13       -0.431       -0.010       -4.677

  2     1       -0.313        0.003       -3.360
  2     2       -0.134        0.003       -1.454
  2     3       -0.100        0.003       -1.103
  2     4       -0.086        0.003       -0.976
  2     5       -0.080        0.002       -0.927
  2     6       -0.078        0.001       -0.918
  2     7       -0.078       -0.000       -0.934
  2     8       -0.081       -0.002       -0.970
  2     9       -0.086       -0.004       -1.028
  2    10       -0.094       -0.005       -1.113
  2    11       -0.106       -0.007       -1.243
  2    12       -0.132       -0.010       -1.510
  2    13       -0.294       -0.012       -3.229

  3     1       -0.296        0.007       -3.188
  3     2       -0.114        0.006       -1.268
  3     3       -0.076        0.006       -0.902
  3     4       -0.060        0.004       -0.761
  3     5       -0.052        0.001       -0.697
  3     6       -0.049       -0.002       -0.670
  3     7       -0.049       -0.004       -0.667
  3     8       -0.050       -0.005       -0.684
  3     9       -0.054       -0.007       -0.720
  3    10       -0.060       -0.008       -0.785
  3    11       -0.072       -0.010       -0.910
  3    12       -0.103       -0.013       -1.239
  3    13       -0.281       -0.021       -3.122

  4     1       -0.282        0.020       -3.119
  4     2       -0.083        0.010       -1.194
  4     3       -0.047       -0.002       -0.822
  4     4       -0.037       -0.007       -0.675
  4     5       -0.034       -0.008       -0.604
  4     6       -0.033       -0.009       -0.571
  4     7       -0.034       -0.009       -0.563
  4     8       -0.036       -0.010       -0.574
  4     9       -0.040       -0.010       -0.607
  4    10       -0.046       -0.011       -0.673
  4    11       -0.058       -0.013       -0.812
  4    12       -0.089       -0.018       -1.172
  4    13       -0.264       -0.036       -3.088

