    I    J      U1        V1        W1        U2        V2        W2        U3        V3        W3        U4        V4        W4        A1
    1    1    -0.030    -0.000    -0.326    -0.255    -0.001    -2.730    -0.028     0.000    -0.303    -0.258     0.001    -2.752    -6.137
    1    2    -0.079    -0.000    -0.849    -0.033    -0.000    -0.354    -0.005    -0.000    -0.051     0.255     0.001     2.730     1.481
    1    3    -0.013    -0.000    -0.139    -0.009    -0.000    -0.099    -0.001    -0.000    -0.015     0.033     0.000     0.354     0.102
    1    4    -0.002    -0.000    -0.025    -0.004     0.000    -0.044    -0.001    -0.000    -0.006     0.009     0.000     0.099     0.023
    1    5    -0.001     0.000    -0.008    -0.002    -0.000    -0.024    -0.000    -0.000    -0.003     0.004    -0.000     0.044     0.008
    1    6    -0.000    -0.000    -0.004    -0.001    -0.000    -0.015    -0.000    -0.000    -0.002     0.002     0.000     0.024     0.004
    1    7    -0.000    -0.000    -0.002    -0.001     0.000    -0.010    -0.000    -0.000    -0.001     0.001     0.000     0.015     0.002
    1    8    -0.000    -0.000    -0.001    -0.001     0.000    -0.007    -0.000    -0.000    -0.001     0.001    -0.000     0.010     0.001
    1    9    -0.000     0.000    -0.001    -0.000    -0.000    -0.005    -0.000     0.000    -0.001     0.001    -0.000     0.007     0.001
    1   10    -0.000    -0.000    -0.000    -0.000    -0.000    -0.003    -0.000    -0.000    -0.000     0.000     0.000     0.005     0.000
    1   11    -0.000    -0.000    -0.000    -0.000     0.000    -0.003    -0.000    -0.000    -0.000     0.000     0.000     0.003     0.000
    1   12    -0.000    -0.000    -0.000    -0.000     0.000    -0.002    -0.000    -0.000    -0.000     0.000    -0.000     0.003     0.000
    1   13    -0.000     0.000    -0.000    -0.000    -0.000    -0.001    -0.000    -0.000    -0.000     0.000    -0.000     0.002     0.000
    2    1     0.028    -0.000     0.303    -0.003     0.000    -0.029    -0.003     0.000    -0.029    -0.011     0.000    -0.119     0.127
    2    2     0.005     0.000     0.051    -0.003     0.000    -0.029    -0.002    -0.000    -0.017     0.003    -0.000     0.029     0.034
    2    3     0.001     0.000     0.015    -0.002    -0.000    -0.021    -0.001     0.000    -0.010     0.003    -0.000     0.029     0.013
    2    4     0.001     0.000     0.006    -0.001     0.000    -0.015    -0.001    -0.000    -0.006     0.002     0.000     0.021     0.006
    2    5     0.000     0.000     0.003    -0.001    -0.000    -0.011    -0.000     0.000    -0.004     0.001    -0.000     0.015     0.003
    2    6     0.000     0.000     0.002    -0.001    -0.000    -0.008    -0.000    -0.000    -0.003     0.001     0.000     0.011     0.002
    2    7     0.000     0.000     0.001    -0.001    -0.000    -0.006    -0.000     0.000    -0.002     0.001     0.000     0.008     0.001
    2    8     0.000     0.000     0.001    -0.000    -0.000    -0.005    -0.000    -0.000    -0.001     0.001     0.000     0.006     0.001
    2    9     0.000    -0.000     0.001    -0.000     0.000    -0.004    -0.000     0.000    -0.001     0.000     0.000     0.005     0.001
    2   10     0.000     0.000     0.000    -0.000     0.000    -0.003    -0.000    -0.000    -0.001     0.000    -0.000     0.004     0.000
