
   AIRFOIL COORDINATES
   ===================

      IB1=     10

      X        Z
    0.0000    0.0000
    0.0240    0.0210
    0.0950    0.0380
    0.2060    0.0500
    0.3450    0.0600
    0.5000    0.0580
    0.6550    0.0460
    0.7940    0.0260
    0.9050    0.0120
    1.0000    0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    1         0.0000         0.0000         0.0000
  2    1         0.0240         0.0000         0.0210
  3    1         0.0950         0.0000         0.0380
  4    1         0.2060         0.0000         0.0500
  5    1         0.3450         0.0000         0.0600
  6    1         0.5000         0.0000         0.0580
  7    1         0.6550         0.0000         0.0460
  8    1         0.7940         0.0000         0.0260
  9    1         0.9050         0.0000         0.0120
 10    1         1.0000         0.0000         0.0000
 11    1      1301.0000         0.0000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    2         0.0000         0.5000         0.0000
  2    2         0.0240         0.5000         0.0210
  3    2         0.0950         0.5000         0.0380
  4    2         0.2060         0.5000         0.0500
  5    2         0.3450         0.5000         0.0600
  6    2         0.5000         0.5000         0.0580
  7    2         0.6550         0.5000         0.0460
  8    2         0.7940         0.5000         0.0260
  9    2         0.9050         0.5000         0.0120
 10    2         1.0000         0.5000         0.0000
 11    2      1301.0000         0.5000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    3         0.0000         1.0000         0.0000
  2    3         0.0240         1.0000         0.0210
  3    3         0.0950         1.0000         0.0380
  4    3         0.2060         1.0000         0.0500
  5    3         0.3450         1.0000         0.0600
  6    3         0.5000         1.0000         0.0580
  7    3         0.6550         1.0000         0.0460
  8    3         0.7940         1.0000         0.0260
  9    3         0.9050         1.0000         0.0120
 10    3         1.0000         1.0000         0.0000
 11    3      1301.0000         1.0000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    4         0.0000         1.5000         0.0000
  2    4         0.0240         1.5000         0.0210
  3    4         0.0950         1.5000         0.0380
  4    4         0.2060         1.5000         0.0500
  5    4         0.3450         1.5000         0.0600
  6    4         0.5000         1.5000         0.0580
  7    4         0.6550         1.5000         0.0460
  8    4         0.7940         1.5000         0.0260
  9    4         0.9050         1.5000         0.0120
 10    4         1.0000         1.5000         0.0000
 11    4      1301.0000         1.5000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    5         0.0000         2.0000         0.0000
  2    5         0.0240         2.0000         0.0210
  3    5         0.0950         2.0000         0.0380
  4    5         0.2060         2.0000         0.0500
  5    5         0.3450         2.0000         0.0600
  6    5         0.5000         2.0000         0.0580
  7    5         0.6550         2.0000         0.0460
  8    5         0.7940         2.0000         0.0260
  9    5         0.9050         2.0000         0.0120
 10    5         1.0000         2.0000         0.0000
 11    5      1301.0000         2.0000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    6         0.0000         2.5000         0.0000
  2    6         0.0240         2.5000         0.0210
  3    6         0.0950         2.5000         0.0380
  4    6         0.2060         2.5000         0.0500
  5    6         0.3450         2.5000         0.0600
  6    6         0.5000         2.5000         0.0580
  7    6         0.6550         2.5000         0.0460
  8    6         0.7940         2.5000         0.0260
  9    6         0.9050         2.5000         0.0120
 10    6         1.0000         2.5000         0.0000
 11    6      1301.0000         2.5000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    7         0.0000         3.0000         0.0000
  2    7         0.0240         3.0000         0.0210
  3    7         0.0950         3.0000         0.0380
  4    7         0.2060         3.0000         0.0500
  5    7         0.3450         3.0000         0.0600
  6    7         0.5000         3.0000         0.0580
  7    7         0.6550         3.0000         0.0460
  8    7         0.7940         3.0000         0.0260
  9    7         0.9050         3.0000         0.0120
 10    7         1.0000         3.0000         0.0000
 11    7      1301.0000         3.0000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    8         0.0000         3.5000         0.0000
  2    8         0.0240         3.5000         0.0210
  3    8         0.0950         3.5000         0.0380
  4    8         0.2060         3.5000         0.0500
  5    8         0.3450         3.5000         0.0600
  6    8         0.5000         3.5000         0.0580
  7    8         0.6550         3.5000         0.0460
  8    8         0.7940         3.5000         0.0260
  9    8         0.9050         3.5000         0.0120
 10    8         1.0000         3.5000         0.0000
 11    8      1301.0000         3.5000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1    9         0.0000         4.0000         0.0000
  2    9         0.0240         4.0000         0.0210
  3    9         0.0950         4.0000         0.0380
  4    9         0.2060         4.0000         0.0500
  5    9         0.3450         4.0000         0.0600
  6    9         0.5000         4.0000         0.0580
  7    9         0.6550         4.0000         0.0460
  8    9         0.7940         4.0000         0.0260
  9    9         0.9050         4.0000         0.0120
 10    9         1.0000         4.0000         0.0000
 11    9      1301.0000         4.0000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1   10         0.0000         4.5000         0.0000
  2   10         0.0240         4.5000         0.0210
  3   10         0.0950         4.5000         0.0380
  4   10         0.2060         4.5000         0.0500
  5   10         0.3450         4.5000         0.0600
  6   10         0.5000         4.5000         0.0580
  7   10         0.6550         4.5000         0.0460
  8   10         0.7940         4.5000         0.0260
  9   10         0.9050         4.5000         0.0120
 10   10         1.0000         4.5000         0.0000
 11   10      1301.0000         4.5000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1   11         0.0000         5.0000         0.0000
  2   11         0.0240         5.0000         0.0210
  3   11         0.0950         5.0000         0.0380
  4   11         0.2060         5.0000         0.0500
  5   11         0.3450         5.0000         0.0600
  6   11         0.5000         5.0000         0.0580
  7   11         0.6550         5.0000         0.0460
  8   11         0.7940         5.0000         0.0260
  9   11         0.9050         5.0000         0.0120
 10   11         1.0000         5.0000         0.0000
 11   11      1301.0000         5.0000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1   12         0.0000         5.5000         0.0000
  2   12         0.0240         5.5000         0.0210
  3   12         0.0950         5.5000         0.0380
  4   12         0.2060         5.5000         0.0500
  5   12         0.3450         5.5000         0.0600
  6   12         0.5000         5.5000         0.0580
  7   12         0.6550         5.5000         0.0460
  8   12         0.7940         5.5000         0.0260
  9   12         0.9050         5.5000         0.0120
 10   12         1.0000         5.5000         0.0000
 11   12      1301.0000         5.5000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1   13         0.0000         6.0000         0.0000
  2   13         0.0240         6.0000         0.0210
  3   13         0.0950         6.0000         0.0380
  4   13         0.2060         6.0000         0.0500
  5   13         0.3450         6.0000         0.0600
  6   13         0.5000         6.0000         0.0580
  7   13         0.6550         6.0000         0.0460
  8   13         0.7940         6.0000         0.0260
  9   13         0.9050         6.0000         0.0120
 10   13         1.0000         6.0000         0.0000
 11   13      1301.0000         6.0000         0.0000

   I    J      QF(I,J,1)     QF(I,J,2)     QF(I,J,3)
  1   14         0.0000         6.5000         0.0000
  2   14         0.0240         6.5000         0.0210
  3   14         0.0950         6.5000         0.0380
  4   14         0.2060         6.5000         0.0500
  5   14         0.3450         6.5000         0.0600
  6   14         0.5000         6.5000         0.0580
  7   14         0.6550         6.5000         0.0460
  8   14         0.7940         6.5000         0.0260
  9   14         0.9050         6.5000         0.0120
 10   14         1.0000         6.5000         0.0000
 11   14      1301.0000         6.5000         0.0000

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    1         0.0120         0.2500         0.0105
  2    1         0.0595         0.2500         0.0295
  3    1         0.1505         0.2500         0.0440
  4    1         0.2755         0.2500         0.0550
  5    1         0.4225         0.2500         0.0590
  6    1         0.5775         0.2500         0.0520
  7    1         0.7245         0.2500         0.0360
  8    1         0.8495         0.2500         0.0190
  9    1         0.9525         0.2500         0.0060
 10    1       651.0000         0.2500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    2         0.0120         0.7500         0.0105
  2    2         0.0595         0.7500         0.0295
  3    2         0.1505         0.7500         0.0440
  4    2         0.2755         0.7500         0.0550
  5    2         0.4225         0.7500         0.0590
  6    2         0.5775         0.7500         0.0520
  7    2         0.7245         0.7500         0.0360
  8    2         0.8495         0.7500         0.0190
  9    2         0.9525         0.7500         0.0060
 10    2       651.0000         0.7500         0.0000
 

   I    J      QC(I,J,1)     QC(I,J,2)     QC(I,J,3)
  1    3         0.0120         1.2500         0.0105
  2    3         0.0595         1.2500         0.0295
  3    3         0.1505         1.2500         0.0440
  4    3         0.2755         1.2500         0.0550
  5    3         0.4225         1.2500         0.0590
  6    3         0.5775         1.2500         0.0520
  7    3         0.7245         1.2500         0.0360
  8    3         0.8495         1.2500         0.0190
  9    3         0.9525         1.2500         0.0060
