  I     J          U          V             W
  1     1        0.208        0.003        2.205
  1     2        0.056        0.002        0.594
  1     3        0.031        0.002        0.324
  1     4        0.020        0.003        0.218
  1     5        0.014        0.003        0.162
  1     6        0.010        0.003        0.127
  1     7        0.007        0.002        0.104
  1     8        0.004        0.001        0.087
  1     9        0.002        0.000        0.074
  1    10        0.001       -0.000        0.064
  1    11        0.000       -0.001        0.057
  1    12       -0.000       -0.002        0.050
  1    13       -0.000       -0.002        0.045

  2     1        0.241        0.003        2.563
  2     2        0.068        0.003        0.718
  2     3        0.035        0.004        0.383
  2     4        0.022        0.004        0.251
  2     5        0.014        0.003        0.182
  2     6        0.008        0.002        0.140
  2     7        0.005        0.001        0.113
  2     8        0.003        0.000        0.093
  2     9        0.001       -0.001        0.079
  2    10        0.000       -0.002        0.068
  2    11       -0.000       -0.002        0.059
  2    12       -0.000       -0.003        0.052
  2    13       -0.001       -0.003        0.046

  3     1        0.251        0.007        2.675
  3     2        0.071        0.007        0.777
  3     3        0.035        0.006        0.418
  3     4        0.018        0.004        0.273
  3     5        0.009        0.002        0.197
  3     6        0.005       -0.000        0.150
  3     7        0.002       -0.002        0.120
  3     8        0.001       -0.003        0.098
  3     9        0.000       -0.003        0.082
  3    10       -0.000       -0.004        0.070
  3    11       -0.001       -0.004        0.061
  3    12       -0.001       -0.004        0.053
  3    13       -0.001       -0.004        0.047

  4     1        0.249        0.020        2.728
  4     2        0.052        0.011        0.811
  4     3        0.016       -0.001        0.441
  4     4        0.006       -0.006        0.288
  4     5        0.002       -0.007        0.207
  4     6        0.001       -0.007        0.158
  4     7       -0.000       -0.007        0.125
  4     8       -0.001       -0.006        0.102
  4     9       -0.001       -0.006        0.085
  4    10       -0.001       -0.006        0.072
  4    11       -0.001       -0.005        0.062
  4    12       -0.001       -0.005        0.054
  4    13       -0.001       -0.005        0.048

