

   ==================================================================================
   i     j       qc(i,j,1)       qc(i,j,2)       qc(i,j,3)      dcp(i,j)    gamma(i,j)
   ==================================================================================
   1     1          0.747          0.500        999.935          0.986          2.464
   2     1          1.743          0.500        999.847          0.417          3.506
   3     1          2.740          0.500        999.760          0.247          4.123
   4     1          3.736          0.500        999.673          0.136          4.463

   1     2          0.747          1.500        999.935          0.983          2.458
   2     2          1.743          1.500        999.847          0.416          3.497
   3     2          2.740          1.500        999.760          0.246          4.113
   4     2          3.736          1.500        999.673          0.135          4.451

   1     3          0.747          2.500        999.935          0.979          2.447
   2     3          1.743          2.500        999.847          0.413          3.480
   3     3          2.740          2.500        999.760          0.245          4.091
   4     3          3.736          2.500        999.673          0.134          4.427

   1     4          0.747          3.500        999.935          0.972          2.429
   2     4          1.743          3.500        999.847          0.410          3.453
   3     4          2.740          3.500        999.760          0.242          4.058
   4     4          3.736          3.500        999.673          0.133          4.389

   1     5          0.747          4.500        999.935          0.961          2.403
   2     5          1.743          4.500        999.847          0.404          3.414
   3     5          2.740          4.500        999.760          0.238          4.010
   4     5          3.736          4.500        999.673          0.130          4.336

   1     6          0.747          5.500        999.935          0.947          2.369
   2     6          1.743          5.500        999.847          0.397          3.361
   3     6          2.740          5.500        999.760          0.233          3.945
   4     6          3.736          5.500        999.673          0.127          4.264

   1     7          0.747          6.500        999.935          0.929          2.323
   2     7          1.743          6.500        999.847          0.387          3.291
   3     7          2.740          6.500        999.760          0.227          3.858
   4     7          3.736          6.500        999.673          0.123          4.167

   1     8          0.747          7.500        999.935          0.905          2.263
   2     8          1.743          7.500        999.847          0.375          3.199
   3     8          2.740          7.500        999.760          0.218          3.744
   4     8          3.736          7.500        999.673          0.118          4.039

   1     9          0.747          8.500        999.935          0.873          2.183
   2     9          1.743          8.500        999.847          0.357          3.076
   3     9          2.740          8.500        999.760          0.206          3.591
   4     9          3.736          8.500        999.673          0.111          3.868

   1    10          0.747          9.500        999.935          0.830          2.074
   2    10          1.743          9.500        999.847          0.333          2.908
   3    10          2.740          9.500        999.760          0.189          3.381
   4    10          3.736          9.500        999.673          0.101          3.634

   1    11          0.747         10.500        999.935          0.769          1.922
   2    11          1.743         10.500        999.847          0.299          2.670
   3    11          2.740         10.500        999.760          0.166          3.086
   4    11          3.736         10.500        999.673          0.088          3.305

   1    12          0.747         11.500        999.935          0.676          1.691
   2    12          1.743         11.500        999.847          0.247          2.310
   3    12          2.740         11.500        999.760          0.133          2.643
   4    12          3.736         11.500        999.673          0.070          2.817

   1    13          0.747         12.500        999.935          0.511          1.279
   2    13          1.743         12.500        999.847          0.162          1.684
   3    13          2.740         12.500        999.760          0.085          1.896
   4    13          3.736         12.500        999.673          0.045          2.008

