   i      j      gama(i,j)
   1     1          2.464
   1     2          2.458
   1     3          2.447
   1     4          2.429
   1     5          2.403
   1     6          2.369
   1     7          2.323
   1     8          2.263
   1     9          2.183
   1    10          2.074
   1    11          1.922
   1    12          1.691
   1    13          1.279
   2     1          3.506
   2     2          3.497
   2     3          3.480
   2     4          3.453
   2     5          3.414
   2     6          3.361
   2     7          3.291
   2     8          3.199
   2     9          3.076
   2    10          2.908
   2    11          2.670
   2    12          2.310
   2    13          1.684
   3     1          4.123
   3     2          4.113
   3     3          4.091
   3     4          4.058
   3     5          4.010
   3     6          3.945
   3     7          3.858
   3     8          3.744
   3     9          3.591
   3    10          3.381
   3    11          3.086
   3    12          2.643
   3    13          1.896
   4     1          4.463
   4     2          4.451
   4     3          4.427
   4     4          4.389
   4     5          4.336
   4     6          4.264
   4     7          4.167
   4     8          4.039
   4     9          3.868
   4    10          3.634
   4    11          3.305
   4    12          2.817
   4    13          2.008
