S.Span: 0.50 Avg.Chord: 0.20
Lambda: 45.0 Alpha:  5.0 H.G.: 1000.0
 Phi vs. CD
   1.14591551       5.41890087E-03
   2.29183102       5.40835690E-03
   3.43774676       5.40667633E-03
   4.58366203       5.37770987E-03
   5.72957706       5.35258092E-03
   6.87549305       5.32834139E-03
   8.02140808       5.27715217E-03
   9.16732407       5.23819402E-03
   10.3132391       5.18885022E-03
   11.4591541       5.11714164E-03
   12.6050692       5.04761655E-03
   13.7509842       4.97858878E-03
   14.8968992       4.90413047E-03
   16.0428162       4.81451163E-03
   17.1887321       4.71463148E-03
   18.3346481       4.61514946E-03
   19.4805641       4.51354356E-03
   20.6264801       4.38893307E-03
   21.7723961       4.28514415E-03
   22.9183140       4.17384040E-03
   24.0642281       4.03606985E-03
   25.2101460       3.91615694E-03
   26.3560619       3.79080186E-03
   27.5019779       3.66190006E-03
   28.6478920       3.53371538E-03
   29.7938061       3.40950931E-03
   30.9397221       3.27145960E-03
   32.0856361       3.13342456E-03
   33.2315483       2.99385516E-03
   34.3774643       2.85830325E-03
   35.5233803       2.74131773E-03
   36.6692963       2.60469154E-03
   37.8152084       2.47820164E-03
   38.9611206       2.35162280E-03
   40.1070366       2.22353148E-03
   41.2529526       2.10476527E-03
   42.3988647       1.99026847E-03
   43.5447807       1.87517132E-03
   44.6906967       1.76307873E-03
   45.8366089       1.65598246E-03
   46.9825249       1.54715742E-03
   48.1284370       1.45129161E-03
   49.2743492       1.35528552E-03
   50.4202690       1.26895832E-03
   51.5661812       1.17825205E-03
   52.7120972       1.09371240E-03
   53.8580093       1.01980206E-03
   55.0039253       9.46864428E-04
   56.1498413       8.79447616E-04
   57.2957535       8.12613463E-04
   58.4416695       7.54176115E-04
