x,y
0.00990, -2.50
0.0287, -2.12
0.0397, -1.94
0.0415, 0.644
0.0548, -1.75
0.0646, 0.466
0.0706, -1.58
0.0923, -1.37
0.0958, 0.287
0.121, -1.20
0.132, 0.148
0.168, 0.0596
0.204, 0.0143
0.208, -0.876
0.239, -0.000309
0.246, -0.776
0.275, -0.000309
0.287, -0.689
0.311, -0.000309
0.329, -0.613
0.348, -0.00112
0.370, -0.534
0.382, -0.00179
0.406, -0.489
0.418, -0.000309
0.442, -0.448
0.454, -0.000309
0.477, -0.411
0.489, -0.00105
0.513, -0.370
0.525, -0.000309
0.549, -0.334
0.564, -0.00179
0.584, -0.301
0.600, -0.000309
0.620, -0.270
0.636, -0.00327
0.656, -0.242
0.671, -0.000309
0.691, -0.207
0.732, -0.170
0.743, -0.000309
0.766, -0.151
0.815, -0.0718
0.849, -0.0275
0.886, -0.00142
0.921, 0.0478
0.957, 0.0867
0.172, -0.972
0.143, -1.10
0.983, 0.156
1.00, 0.211
0.974, 0.202
0.945, 0.156
0.905, 0.101
0.883, 0.0734
0.855, 0.0459
0.828, 0.00917
0.799, 0.00
0.767, -0.00917
0.0241, 0.807
0.0129, 0.972
0.00576, 0.844
0.0224, -2.27
0.00210, -2.16
0.00247, -2.36
